run_id,experiment_name,model_name,log_loss_mean,log_loss_std,log_loss_min,log_loss_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,top_3_accuracy_mean,top_3_accuracy_std,top_3_accuracy_min,top_3_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,training_seconds_mean,training_seconds_std,training_seconds_min,training_seconds_max,model_iterations_mean,model_iterations_std,model_iterations_min,model_iterations_max
xgboost_depth_6_child_5__20260719T031932Z,xgboost_depth_6_child_5,xgboost,2.308958103855334,,2.308958103855334,2.308958103855334,0.3048229484081118,,0.3048229484081118,0.3048229484081118,0.560725919032108,,0.560725919032108,0.560725919032108,0.0894636386700516,,0.0894636386700516,0.0894636386700516,63.26890454199747,,63.26890454199747,63.26890454199747,,,,
xgboost_depth_8_child_1__20260719T032051Z,xgboost_depth_8_child_1,xgboost,2.3123150556405836,,2.3123150556405836,2.3123150556405836,0.3052282381903061,,0.3052282381903061,0.3052282381903061,0.5592098350320479,,0.5592098350320479,0.5592098350320479,0.0950263910711873,,0.0950263910711873,0.0950263910711873,76.98976533301175,,76.98976533301175,76.98976533301175,,,,
xgboost_depth_8_child_5__20260719T032208Z,xgboost_depth_8_child_5,xgboost,2.3076296216019285,,2.3076296216019285,2.3076296216019285,0.3056785601705219,,0.3056785601705219,0.3056785601705219,0.5615665200618443,,0.5615665200618443,0.5615665200618443,0.0927330907894082,,0.0927330907894082,0.0927330907894082,75.53560754100909,,75.53560754100909,75.53560754100909,,,,
xgboost_finalist__20260719T041113Z,xgboost_finalist,xgboost,2.2908749626977274,,2.2908749626977274,2.2908749626977274,0.3091010072201624,,0.3091010072201624,0.3091010072201624,0.5663849652501538,,0.5663849652501538,0.5663849652501538,0.0905318789203801,,0.0905318789203801,0.0905318789203801,229.1272878749878,,229.1272878749878,229.1272878749878,,,,
xgboost_finalist__20260719T042555Z,xgboost_finalist,xgboost,2.2773053161212053,0.0151061491519384,2.261028693159446,2.2908749626977274,0.3140995562054987,0.0082640031447388,0.3091010072201624,0.3236383355818321,0.5738068910949611,0.0089712531929323,0.5663849652501538,0.5837764198608576,0.0879598064309905,0.0023744126426274,0.0858514759996064,0.0905318789203801,252.26896037500896,16.840299293914775,234.2268432500132,267.57151458301814,,,,
xgboost_gamma_0_0_alpha_0_0_lambda_0_5__20260719T035012Z,xgboost_gamma_0_0_alpha_0_0_lambda_0_5,xgboost,2.301740845094275,,2.301740845094275,2.301740845094275,0.3070295261111694,,0.3070295261111694,0.3070295261111694,0.5638931836262928,,0.5638931836262928,0.5638931836262928,0.094266597346261,,0.094266597346261,0.094266597346261,77.00271770800464,,77.00271770800464,77.00271770800464,,,,
xgboost_gamma_0_0_alpha_0_0_lambda_2_0__20260719T035130Z,xgboost_gamma_0_0_alpha_0_0_lambda_2_0,xgboost,2.298586255714292,,2.298586255714292,2.298586255714292,0.3075999339527762,,0.3075999339527762,0.3075999339527762,0.5641633768144223,,0.5641633768144223,0.5641633768144223,0.0949721209780812,,0.0949721209780812,0.0949721209780812,77.21249045801233,,77.21249045801233,77.21249045801233,,,,
xgboost_gamma_0_0_alpha_0_0_lambda_5_0__20260719T035250Z,xgboost_gamma_0_0_alpha_0_0_lambda_5_0,xgboost,2.2963007351873075,,2.2963007351873075,2.2963007351873075,0.3076899983488194,,0.3076899983488194,0.3076899983488194,0.5640733124183791,,0.5640733124183791,0.5640733124183791,0.0932462079529805,,0.0932462079529805,0.0932462079529805,77.84092891699402,,77.84092891699402,77.84092891699402,,,,
xgboost_gamma_0_0_alpha_0_1_lambda_1_0__20260719T035408Z,xgboost_gamma_0_0_alpha_0_1_lambda_1_0,xgboost,2.300918664618546,,2.300918664618546,2.300918664618546,0.307074558309191,,0.307074558309191,0.307074558309191,0.5624821747549498,,0.5624821747549498,0.5624821747549498,0.0921386086612175,,0.0921386086612175,0.0921386086612175,76.95256791598513,,76.95256791598513,76.95256791598513,,,,
xgboost_gamma_0_0_alpha_0_5_lambda_1_0__20260719T035527Z,xgboost_gamma_0_0_alpha_0_5_lambda_1_0,xgboost,2.3006982495368513,,2.3006982495368513,2.3006982495368513,0.3077200198141671,,0.3077200198141671,0.3077200198141671,0.5634128401807292,,0.5634128401807292,0.5634128401807292,0.093593793811456,,0.093593793811456,0.093593793811456,77.74362141700112,,77.74362141700112,77.74362141700112,,,,
